Title,Writer,Cast
Un prophète,"Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri","Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb, Hichem Yacoubi, Jean-Philippe Ricci, Gilles Cohen, Pierre Leccia, Antoine Basler, Foued Nassah, Jean-Emmanuel Pagni, Frédéric Graziani, Leïla Bekhti, Rabah Loucif, Slimane Dazi, Serge Onteniente, Hervé Temime, Taha Lemaizi"
The Right Stuff,"Philip Kaufman, Tom Wolfe","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid, Fred Ward, Barbara Hershey, Kim Stanley, Veronica Cartwright, Pamela Reed, Scott Paulin, Charles Frank, Lance Henriksen, Donald Moffat, Levon Helm, Mary Jo Deschanel, Scott Wilson, Kathy Baker, Mickey Crocker"
Freaks,"Clarence Aaron 'Tod' Robbins, Willis Goldbeck, Leon Gordon","Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Henry Victor, Harry Earles, Daisy Earles, Rose Dione, Daisy Hilton, Violet Hilton, Schlitze, Josephine Joseph, Johnny Eck, Frances O'Connor, Peter Robinson, Olga Roderick, Koo Koo, Prince Randian"
Letters from Iwo Jima,"Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase, Shidô Nakamura, Hiroshi Watanabe, Takumi Bando, Yuki Matsuzaki, Takashi Yamaguchi, Eijiro Ozaki, Nae, Nobumasa Sakagami, Luke Eberl, Sonny Saito, Steve Santa Sekiyoshi, Hiro Abe, Toshiya Agata, Yoshi Ishii"
Jujutsu Kaisen 0: The Movie,"Gege Akutami, Hiroshi Seko","Megumi Ogata, Kana Hanazawa, Yûichi Nakamura, Takahiro Sakurai, Mikako Komatsu, Kôki Uchiyama, Tomokazu Seki, Mitsuo Iwata, Takaya Kuroda, Risae Matsuda, Satsumi Matsuda, Shizuka Itou, Show Hayami, Kôichi Yamadera, Subaru Kimura, Satoshi Hino, Rie Kugimiya, Marina Inoue"
Chugyeogja,"Won-Chan Hong, Na Hong-jin, Shinho Lee","Kim Yoon-seok, Ha Jung-woo, Seo Yeong-hie, Kim Yoo-jung, Jeong In-gi, Choi Jung-woo, Min Kyung-jin, Park Hyo-ju, Bon-woong Ko, Oh Yeon-ah, Yoo Ji-yeon, Lee Jong-goo, Song Yo-sep, Ha Seong-kwang, Jo Deok-jae, Lim Jeong-woon, Jung Gi-sub, Chan-guk Park"
My Left Foot: The Story of Christy Brown,"Shane Connaughton, Jim Sheridan, Christy Brown","Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan, Declan Croghan, Eanna MacLiam, Marie Conmee, Cyril Cusack, Phelim Drew, Ruth McCabe, Fiona Shaw, Ray McAnally, Pat Laffan, Derry Power, Hugh O'Conor, Darren McHugh, Owen Sharpe, Eileen Colgan"
Hanu Man,Prasanth Varma,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar, Vinay Rai, Vennela Kishore, Samuthirakani, Satya, Getup Srinu, Deepak Shetty, Ravi Teja, Koushik Mahata, Bhanu Prakash, Rishab Shetty"
Loving Vincent,"DK Welchman, Hugh Welchman, Jacek Dehnel","Douglas Booth, Jerome Flynn, Robert Gulaczyk, Helen McCrory, Josh Burdett, Holly Earl, Robin Hodges, Chris O'Dowd, John Sessions, Eleanor Tomlinson, Aidan Turner, Saoirse Ronan, Joe Stuckey, James Greene, Martin Herdman, Bill Thomas, Piotr Pamula, Cezary Lukaszewicz"
Stagecoach,"Ernest Haycox, Dudley Nichols, Ben Hecht","John Wayne, Claire Trevor, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Berton Churchill, Tim Holt, Tom Tyler, Dorothy Appleby, Frank Baker, Chief John Big Tree, Ted Billings, Wiggie Blowne, Danny Borzage, Ed Brady"
You Can't Take It with You,"Robert Riskin, George S. Kaufman, Moss Hart","Jean Arthur, James Stewart, Lionel Barrymore, Edward Arnold, Mischa Auer, Ann Miller, Spring Byington, Samuel S. Hinds, Donald Meek, H.B. Warner, Halliwell Hobbes, Dub Taylor, Mary Forbes, Lillian Yarbo, Eddie 'Rochester' Anderson, Clarence Wilson, Josef Swickard, Ann Doran"
Manhattan,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Mariel Hemingway, Michael Murphy, Meryl Streep, Anne Byrne Hoffman, Karen Ludwig, Michael O'Donoghue, Victor Truro, Tisa Farrow, Helen Hanft, Bella Abzug, Gary Weis, Kenny Vance, Charles Levin, Karen Allen, David Rasche, Damion Scheller"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Thomas Bangalter, Guy-Manuel De Homem-Christo, Cédric Hervet","Romanthony, Thomas Bangalter"
Mimi wo sumaseba,"Aoi Hiiragi, Hayao Miyazaki","Yoko Honna, Issei Takahashi, Takashi Tachibana, Shigeru Muroi, Shigeru Tsuyuguchi, Keiju Kobayashi, Yorie Yamashita, Maiko Kayama, Yoshimi Nakajima, Minami Takayama, Mayumi Izuka, Mai Chiba, Satoru Takahashi, Akiko Sakaguchi, Hiromi Yasuda, Tatsuya Okada, Yoshihiro Imai, Naohisa Inoue"
Hannah and Her Sisters,Woody Allen,"Mia Farrow, Dianne Wiest, Michael Caine, Barbara Hershey, Carrie Fisher, Maureen O'Sullivan, Lloyd Nolan, Max von Sydow, Woody Allen, Lewis Black, Julia Louis-Dreyfus, Christian Clemenson, Julie Kavner, J.T. Walsh, John Turturro, Rusty Magee, Allen DeCheser, Artie DeCheser"
Ninotchka,"Charles Brackett, Billy Wilder, Walter Reisch","Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi, Sig Ruman, Felix Bressart, Alexander Granach, Gregory Gaye, Rolfe Sedan, Edwin Maxwell, Richard Carle, Dorothy Adams, Monya Andre, Nino Bellini, Wilda Bennett, Eumenio Blanco, Symona Boniface, Frederika Brown"
Grizzly Man,Werner Herzog,"Timothy Treadwell, Amie Huguenard, Werner Herzog, Carol Dexter, Val Dexter, Sam Egli, Franc G. Fallico, Willy Fulton, Marc Gaede, Marnie Gaede, Sven Haakanson Jr., David Letterman, Jewel Palovak, Kathleen Parker, Warren Queeney, Larry Van Daele"
East of Eden,"John Steinbeck, Paul Osborn","James Dean, Raymond Massey, Julie Harris, Burl Ives, Richard Davalos, Jo Van Fleet, Albert Dekker, Lois Smith, Harold Gordon, Nick Dennis, Abdullah Abbas, John Alban, Rose Allen, José Arias, Frank Baker, Barbara Baxley, John Beradino, Joe Brooks"
The Bride of Frankenstein,"Mary Shelley, William Hurlbut, John L. Balderston","Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson, Ernest Thesiger, Gavin Gordon, Douglas Walton, Una O'Connor, E.E. Clive, Lucien Prival, O.P. Heggie, Dwight Frye, Reginald Barlow, Mary Gordon, Anne Darling, Ted Billings, Robert Adair, Norman Ainsley"
Batman: Mask of the Phantasm,"Alan Burnett, Paul Dini, Martin Pasko","Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach, Abe Vigoda, Dick Miller, John P. Ryan, Efrem Zimbalist Jr., Bob Hastings, Robert Costanzo, Mark Hamill, Jane Downs, Pat Musick, Vernee Watson, Ed Gilbert, Peter Renaday, Jeff Bennett, Charles Howerton"
Todo Sobre Mi Madre,Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, Penélope Cruz, Rosa Maria Sardà, Fernando Fernán Gómez, Fernando Guillén, Toni Cantó, Carlos Lozano, Eloy Azorín, Manuel Morón, José Luis Torrijo, Juan José Otegui, Carmen Balagué, Malena Gutiérrez, Yael Barnatán, Carme Fortuny"
The Philadelphia Story,"Donald Ogden Stewart, Philip Barry, Waldo Salt","Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey, John Howard, Roland Young, John Halliday, Mary Nash, Virginia Weidler, Henry Daniell, Lionel Pape, Rex Evans, King Baggot, Hillary Brooke, Veda Buckland, Lita Chevret, Russ Clark, Sally Cleaves"
Pride,Stephen Beresford,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine, Ben Schnetzer, Abram Rooney, Jim McManus, George MacKay, Monica Dolan, Matthew Flynn, Andrew Scott, Joe Gilgun, Faye Marsay, Freddie Fox, Lucy Timmons, Jordan Metcalfe, Roger Morlidge, Dean Ashton"
Das weiße Band - Eine deutsche Kindergeschichte,Michael Haneke,"Christian Friedel, Ernst Jacobi, Leonie Benesch, Ulrich Tukur, Ursina Lardi, Fion Mutert, Michael Kranz, Burghart Klaußner, Steffi Kühnert, Maria Dragus, Leonard Proxauf, Levin Henning, Johanna Busse, Yuma Amecke, Thibault Sérié, Josef Bierbichler, Gabriela Maria Schmeide, Janina Fautz"
Tokyo Godfathers,"Satoshi Kon, Keiko Nobumoto","Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka, Seizô Katô, Hiroya Ishimaru, Ryûji Saikachi, Yûsaku Yara, Kyôko Terase, Mamiko Noto, Akio Ôtsuka, Rikiya Koyama, Satomi Kôrogi, Hidenari Ugaki, Mitsuru Ogata, Eriko Kawasaki, Chiyako Shibahara, Akiko Takeguchi"
Once,John Carney,"Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick, Alaistair Foley, Geoff Minogue, Bill Hodnett, Danuse Ktrestova, Darren Healy, Mal Whyte, Marcella Plunkett, Niall Cleary, Wiltold Owski, Krzysztos Tlotka, Tomek Glowacki, Attila Kouvacs, Sean Miller, Pat McGrath"
Veer Zara,Aditya Chopra,"Shah Rukh Khan, Preity G Zinta, Rani Mukerji, Kirron Kher, Divya Dutta, Boman Irani, Anupam Kher, Amitabh Bachchan, Hema Malini, Manoj Bajpayee, Zohra Sehgal, S.M. Zaheer, Tom Alter, Akhilendra Mishra, Arun Bali, Rushad Rana, Balwant Bansal, Vicky Ahuja"
To Have and Have Not,"Ernest Hemingway, Jules Furthman, William Faulkner","Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran, Hoagy Carmichael, Sheldon Leonard, Walter Szurovy, Marcel Dalio, Walter Sande, Dan Seymour, Aldo Nadi, Nestor Amaral, Audrey Armstrong, Juliette Ball, Joy Barlow, Eugene Borden, James Burross, Jack Chefe"
The Chorus,"Georges Chaperot, René Wheeler, Noël-Noël","Gérard Jugnot, François Berléand, Jean-Baptiste Maunier, Kad Merad, Jean-Paul Bonnaire, Marie Bunel, Maxence Perrin, Grégory Gatignol, Thomas Blumenthal, Cyril Bernicot, Simon Fargeot, Théodule Carré-Cassaigne, Philippe du Janerand, Carole Weiss, Erick Desmarestz, Paul Chariéras, Armen Godel, Monique Ditisheim"
"Aguirre, the Wrath of God",Werner Herzog,"Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro, Peter Berling, Cecilia Rivera, Daniel Ades, Edward Roland, Alexandra Cheves, Armando Polanah, Daniel Farfán, Julio E. Martínez, Alejandro Repullés, Indianern der Kooperative Lauramarca, Claus Biederstaedt, Lothar Blumhagen, Heinz Theo Branding, Christian Brückner"
Shadow of a Doubt,"Thornton Wilder, Sally Benson, Alma Reville","Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, Patricia Collinge, Hume Cronyn, Wallace Ford, Edna May Wonacott, Charles Bates, Irving Bacon, Clarence Muse, Janet Shaw, Estelle Jewell, Bill Bates, Virginia Brissac, Frances Carson, Earle S. Dewey, Sarah Edwards"
Article 370,"Aditya Dhar, Monal Thaakar, Aditya Suhas Jambhale","Yami Gautam, Priyamani, Vaibhav Tatwawadi, Mohan Agashe, Hitesh Aggarwal, Sukhita Aiyar, Raj Arjun, Sandeep Chatterjee, Praveen Gadkar, Kumar Kanchan Ghosh, Arun Govil, Iravati Harshe, Kiran Karmarkar, Sumit Kaul, Shivam Khajuria, Midhat Khan, Janya Khandpur, Ashwini Koul"
"They Shoot Horses, Don't They?","Horace McCoy, James Poe, Robert E. Thompson","Jane Fonda, Michael Sarrazin, Susannah York, Gig Young, Red Buttons, Bonnie Bedelia, Michael Conrad, Bruce Dern, Al Lewis, Robert Fields, Severn Darden, Allyn Ann McLerie, Madge Kennedy, Jacquelyn Hyde, Felice Orlandi, Art Metrano, Gail Billings, Lynn Willis"
Les parapluies de Cherbourg,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel, Ellen Farner, Mireille Perrey, Jean Champion, Pierre Caden, Jean-Pierre Dorat, Bernard Fradet, Michel Benoist, Philippe Dumat, Dorothée Blanck, Jane Carat, Harald Wolff, Danielle Licari, José Bartel, Christiane Legrand"
Jûbê Ninpûchô,Yoshiaki Kawajiri,"Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka, Daisuke Gôri, Ichirô Nagai, Ryûzaburô Ôtomo, Akimasa Ohmori, Gara Takashima, Katsuji Mori, Yûsaku Yara, Norio Wakamoto, Toshihiko Seki, Masako Katsuki, Reizô Nomoto, Jun'ichi Sugawara, Katsumi Suzuki, Shûichirô Moriyama"
Premalu,"Girish A.D., Kiran Josey","Naslen, Mamitha Baiju, Shyam Mohan, Sangeeth Prathap, Akhila Bhargavan, A.R. Raja Ganesh, Shameer Khan, Dileep Mohan, Meenakshi Raveendran, Althaf Salim, Mathew Thomas, George Wincent, Jan Joseph George"
Guess Who's Coming to Dinner,"William Rose, Max Morise","Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton, Cecil Kellaway, Beah Richards, Roy Glenn, Isabel Sanford, Virginia Christine, Alexandra Hay, Barbara Randolph, D'Urville Martin, Tom Heaton, Grace Gaynor, Skip Martin, John Hudkins, Garrett Cassell, Natalie Core"
"I, Daniel Blake",Paul Laverty,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann, Dylan McKiernan, Kate Rutter, Kema Sikazwe, Magpie Richens, Amanda Payne, Chris McGlade, Shaun Prendergast, Gavin Webster, Sammy T. Dobson, Mickey Hutton, Colin Coombs, David Murray, Stephen Clegg, Andy Kidd"
Playtime,"Jacques Tati, Jacques Lagrange, Art Buchwald","Jacques Tati, Barbara Dennek, Rita Maiden, France Rumilly, France Delahalle, Valérie Camille, Erika Dentzler, Nicole Ray, Yvette Ducreux, Nathalie Jem, Jacqueline Lecomte, Oliva Poli, Alice Field, Sophie Wennek, Evy Cavallaro, Laure Paillette, Colette Proust, Luce Bonifassy"
The Servant,"Harold Pinter, Robin Maugham","Dirk Bogarde, Sarah Miles, Wendy Craig, James Fox, Catherine Lacey, Richard Vernon, Ann Firbank, Doris Nolan, Patrick Magee, Jill Melford, Alun Owen, Harold Pinter, Derek Tansley, Brian Phelan, Hazel Terry, Philippa Hare, Dorothy Bromiley, Alison Seebohm"
His Girl Friday,"Charles Lederer, Ben Hecht, Charles MacArthur","Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart, Porter Hall, Ernest Truex, Cliff Edwards, Clarence Kolb, Roscoe Karns, Frank Jenks, Regis Toomey, Abner Biberman, Frank Orth, John Qualen, Helen Mack, Alma Kruger, Billy Gilbert, Pat West"
Baby You Have This,"Dudley Nichols, Hagar Wilde","Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett, Barry Fitzgerald, May Robson, Fritz Feld, Leona Roberts, George Irving, Tala Birell, Virginia Walker, John Kelly, Ruth Adler, Adeline Ashbury, Asta, William 'Billy' Benedict, Billy Bevan, Stanley Blystone"
The Lunchbox,"Ritesh Batra, Vasan Bala","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey, Nakul Vaid, Bharti Achrekar, Yashvi Puneet Nagar, Denzil Smith, Shruti Bapna, Nasir Khan, Lokesh Raj, Sadashiv Kondaji Pokarkar, Aarti Rathod, Krishna Bai, Raj Rishi More, Santosh Kumar Chaurasiya, Avijit Khanwilkar, Aakash Sinha"
Soshite chichi ni naru,Hirokazu Koreeda,"Masaharu Fukuyama, Machiko Ono, Yôko Maki, Lily Franky, Keita Ninomiya, Shôgen Hwang, Yuri Nakamura, Kazuya Takahashi, Yoshida Yoh, Pierre Taki, Ichirô Ogura, Hiroshi Ôkôchi, Hana Kino, Kazuaki Shimizu, Tsuyoshi Hayashi, Tomoya Nakamura, Megumi Morisaki, Tomomitsu Adachi"
The Asphalt Jungle,"Ben Maddow, John Huston, W.R. Burnett","Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore, Sam Jaffe, John McIntire, Marc Lawrence, Barry Kelley, Anthony Caruso, Teresa Celli, Marilyn Monroe, William 'Wee Willie' Davis, Dorothy Tree, Brad Dexter, John Maxwell, Mary Anderson, Ray Bennett, David Bond"
Babettes gæstebud,"Karen Blixen, Gabriel Axel","Stéphane Audran, Bodil Kjer, Birgitte Federspiel, Jarl Kulle, Jean-Philippe Lafont, Bibi Andersson, Ghita Nørby, Asta Esper Hagen Andersen, Thomas Antoni, Gert Bastian, Viggo Bentzon, Vibeke Hastrup, Therese Højgaard Christensen, Pouel Kern, Cay Kristiansen, Lars Lohmann, Tine Miehe-Renard, Lisbeth Movin"
Under Sandet,Martin Zandvliet,"Roland Møller, Louis Hofmann, Joel Basman, Mikkel Boe Følsgaard, Laura Bro, Zoe Zandvliet, Mads Riisom, Oskar Bökelmann, Emil Belton, Oskar Belton, Leon Seidel, Karl Alexander Seidel, Max Beck, August Carter, Tim Bülow, Alexander Rasch, Julius Kochinke, Aaron Koszuta"
Amy,"Amy Winehouse, Mitch Winehouse, Mark Ronson","Amy Winehouse, Mitch Winehouse, Mark Ronson, Russell Brand, Lauren Gilbert, Juliette Ashby, Nick Shymansky, Tyler James, Guy Moot, Chris Taylor, Nick Gatfield, Ian Barter, Garry Mulholland, Jonathan Ross, Janis Collins, Sam Beste, Bobby Womack, Salaam Remi"
Johnny Got His Gun,"Dalton Trumbo, Luis Buñuel","Timothy Bottoms, Kathy Fields, Marsha Hunt, Jason Robards, Donald Sutherland, Charles McGraw, Sandy Brown Wyeth, Don 'Red' Barry, Peter Brocco, Kendell Clarke, Eric Christmas, Eduard Franz, Craig Bovia, Judy Howard Chaikin, Dalton Trumbo, Maurice Dallimore, Robert Easton, Larry Fleischman"
Cowboy Bebop: The Movie,"Shin'ichirô Watanabe, Keiko Nobumoto","Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Aoi Tada, Yûsaku Yara, Kazuhiko Inoue, Jûrôta Kosugi, Kinryû Arimoto, Hidekatsu Shibata, Yûji Ueda, Nobuo Tobita, Rikiya Koyama, Ai Kobayashi, Jin Hirao, Toshihiko Nakajima"
The Train,"Franklin Coen, Frank Davis, Rose Valland","Burt Lancaster, Paul Scofield, Jeanne Moreau, Suzanne Flon, Michel Simon, Wolfgang Preiss, Albert Rémy, Charles Millot, Richard Münch, Jacques Marin, Paul Bonifas, Jean Bouchaud, Donald O'Brien, Jean-Pierre Zola, Arthur Brauss, Jean-Claude Bercq, Howard Vernon, Louis Falavigna"
American Movie,"Mark Borchardt, Mike Schank, Tom Schimmels","Mark Borchardt, Mike Schank, Tom Schimmels, Monica Borchardt, Alex Borchardt, Chris Borchardt, Ken Keen, Matt Weisman, Bill Borchardt, Cliff Borchardt, Tom Beach, Joan Petrie, Robert Richard Jorge, Dean Allen, Tommy Dallace, Dawn Borchardt, Miriam Frost, Billy Crystal"
Amarcord,"Federico Fellini, Tonino Guerra","Magali Noël, Bruno Zanin, Pupella Maggio, Armando Brancia, Ciccio Ingrassia, Nando Orfei, Luigi Rossi, Gianfilippo Carcano, Josiane Tanzilli, Maria Antonietta Beluzzi, Giuseppe Ianigro, Ferruccio Brembilla, Antonino Faà di Bruno, Mauro Misul, Nando Villella, Antonio Spaccatini, Aristide Caporale, Gennaro Ombra"
Oliver Twist,"Charles Dickens, David Lean, Stanley Haynes","Robert Newton, Alec Guinness, Kay Walsh, Francis L. Sullivan, Henry Stephenson, Mary Clare, Anthony Newley, Josephine Stuart, Ralph Truman, Kathleen Harrison, Gibb McLaughlin, Amy Veness, Frederick Lloyd, John Howard Davies, Henry Edwards, Ivor Barnard, Maurice Denham, Michael Dear"
The Ghost and Mrs. Muir,"Philip Dunne, R.A. Dick, Jacques Monteux","Gene Tierney, Rex Harrison, George Sanders, Edna Best, Vanessa Brown, Anna Lee, Robert Coote, Natalie Wood, Isobel Elsom, Victoria Horne, Helen Freeman, Stuart Holmes, Whitford Kane, Buster Slaven, Will Stanton, William Stelling, Houseley Stevenson, David Thursby"
Chamkila,"Imtiaz Ali, Sajid Ali","Diljit Dosanjh, Parineeti Chopra, Apinderdeep Singh, Anjum Batra, Nisha Bano, Tushar Dutt, Robbie Johal, Pavneet Singh, Anurag Arora, Gurteg Guri, Gagandeep Singh Dadiala, Sukhdev Barnala, Mohit Chauhan, Grswkk, Raj Hundal, Vipin Katyal, Jashn Kohli, Ajay Madhok"
Brother,Aleksey Balabanov,"Sergey Bodrov, Viktor Sukhorukov, Svetlana Pismichenko, Mariya Zhukova, Yuriy Kuznetsov, Vyacheslav Butusov, Irina Rakshina, Sergey Murzin, Anatoliy Zhuravlyov, Igor Shibanov, Andrey Fedortsov, Sergey Debizhev, Aleksei Sevostyanov, Rinat Ibragimov, Vladimir Ermilov, Anatoliy Gorin, Andrey Krasko, Denis Kirillov"
Radical,"Christopher Zalla, Joshua Davis, Laura Guadalupe A","Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola, Gilberto Barraza, Victor Estrada, Manuel Márquez, Christian González, Xochiquetzal Martínez, Edmundo Moñoz, Enoc Leaño, Manuel Cruz Vivas, Erwin Veytia, Allison Pérez Bernal, Andrea Nicole, Kaarlo Isaac, Franco Ortega"
Imitation of Life,"Eleanore Griffin, Allan Scott, Fannie Hurst","Lana Turner, John Gavin, Sandra Dee, Susan Kohner, Robert Alda, Dan O'Herlihy, Juanita Moore, Karin Dicker, Terry Burnham, John Vivyan, Lee Goodman, Ann Robinson, Troy Donahue, Sandra Gould, David Tomack, Joel Fluellen, Jack Weston, Billy House"
Le charme discret de la bourgeoisie,"Luis Buñuel, Jean-Claude Carrière","Fernando Rey, Delphine Seyrig, Paul Frankeur, Bulle Ogier, Stéphane Audran, Jean-Pierre Cassel, Julien Bertheau, Milena Vukotic, Maria Gabriella Maione, Claude Piéplu, Muni, Pierre Maguelon, François Maistre, Michel Piccoli, Ellen Bahl, Christian Baltauss, Olivier Bauchet, Robert Benoît"
The Postman,"Antonio Skármeta, Furio Scarpelli, Giacomo Scarpelli","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti, Sergio Solli, Carlo Di Maio, Nando Neri, Vincenzo Di Sauro, Orazio Stracuzzi, Alfredo Cozzolino, Mariano Rigillo, Anna Bonaiuto, Calogero Azzaretto, Simona Caparrini, Angelo Casadei, Chuck Riley"
Great Expectations,"Charles Dickens, David Lean, Ronald Neame","John Mills, Valerie Hobson, Tony Wager, Jean Simmons, Bernard Miles, Francis L. Sullivan, Finlay Currie, Martita Hunt, Alec Guinness, Ivor Barnard, Freda Jackson, Eileen Erskine, George Hayes, Hay Petrie, John Forrest, Torin Thatcher, O.B. Clarence, John Burch"
The Hunchback of Notre Dame,"Sonya Levien, Bruno Frank, Victor Hugo","Charles Laughton, Maureen O'Hara, Cedric Hardwicke, Thomas Mitchell, Edmond O'Brien, Alan Marshal, Walter Hampden, Harry Davenport, Katharine Alexander, George Zucco, Fritz Leiber, Etienne Girardot, Helene Reynolds, Minna Gombell, Arthur Hohl, Curt Bois, George Tobias, Rod La Rocque"
Hud,"Irving Ravetch, Harriet Frank Jr., Larry McMurtry","Paul Newman, Melvyn Douglas, Patricia Neal, Brandon De Wilde, Whit Bissell, Crahan Denton, John Ashley, Val Avery, George Petrie, Curt Conway, Sheldon Allman, Pitt Herbert, Carl Low, Robert Hinkle, Don Kennedy, Sharyn Hillyer, Yvette Vickers, Warren Anderson"
Vivre Sa Vie,"Marcel Sacotte, Jean-Luc Godard","Anna Karina, Sady Rebbot, André S. Labarthe, Guylaine Schlumberger, Gérard Hoffman, Monique Messine, Paul Pavel, Dimitri Dineff, Peter Kassovitz, Eric Schlumberger, Brice Parain, Henri Attal, Gilles Quéant, Odile Geoffroy, Marcel Charton, Jack Florency, Alfred Adam, Mario Botti"
